Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,E-mail 1 - Type,E-mail 1 - Value,Phone 1 - Type,Phone 1 - Value,Phone 2 - Type,Phone 2 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
GS 1 Shabab Al Raqaib,GS 1 Shabab Al Raqaib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971508244309,,,,Gents salon,,,,,,
GS 2 Al Qooz,GS 2 Al Qooz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,Not Available,,,,Haircutting salon,,,,,,
GS 3 Wonderland,GS 3 Wonderland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971562778488,,,,Kids salon,,,,,,
GS 4 Al Jazaer,GS 4 Al Jazaer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,Not Available,,,,Haircutting salon,,,,,,
GS 5 Super Star,GS 5 Super Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971543707034,,,,Gents salon,,,,,,
GS 6 The Art,GS 6 The Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971507477676,,,,Gents salon,,,,,,
GS 7 Raqayb Haircutting,GS 7 Raqayb Haircutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971551350886,,,,Gents salon,,,,,,
GS 8 Hassan Al Tahri,GS 8 Hassan Al Tahri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971508492319,,,,Gents salon,,,,,,
GS 9 Usman,GS 9 Usman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971551595566,,,,Gents salon,,,,,,
GS 10 Al Ayan Hair Cutting,GS 10 Al Ayan Hair Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,Not Available,,,,Gents salon,,,,,,
GS 11 Adam,GS 11 Adam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971582214464,,,,Gents salon,,,,,,
GS 12 Lavender,GS 12 Lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971501741762,,,,Gents salon,,,,,,
GS 13 Al Hoot,GS 13 Al Hoot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971555955846,,,,Haircutting salon,,,,,,
GS 14 Najm Al Shabab Saloon,GS 14 Najm Al Shabab Saloon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971582377801,,,,Barbershops,,,,,,
GS 15 Shanab,GS 15 Shanab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971509258063,,,,Gents salon,,,,,,
