Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,E-mail 1 - Type,E-mail 1 - Value,Phone 1 - Type,Phone 1 - Value,Phone 2 - Type,Phone 2 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
GS 600 Lavender,GS 600 Lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971501741762,,,,Gents salon,,,,,,
GS 601 Shabab Al Raqaib,GS 601 Shabab Al Raqaib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971508244309,,,,Gents salon,,,,,,
GS 602 Al Qooz,GS 602 Al Qooz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,Not Available,,,,Haircutting salon,,,,,,
GS 603 Wonderland,GS 603 Wonderland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971562778488,,,,Kids salon,,,,,,
GS 604 Al Jazaer,GS 604 Al Jazaer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,Not Available,,,,Haircutting salon,,,,,,
GS 605 Super Star,GS 605 Super Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971543707034,,,,Gents salon,,,,,,
GS 606 The Art,GS 606 The Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971507477676,,,,Gents salon,,,,,,
GS 607 Raqayb Haircutting,GS 607 Raqayb Haircutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971551350886,,,,Gents salon,,,,,,
GS 608 Hassan Al Tahri,GS 608 Hassan Al Tahri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971508492319,,,,Gents salon,,,,,,
GS 609 Usman,GS 609 Usman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971551595566,,,,Gents salon,,,,,,
GS 610 Al Ayan Hair Cutting,GS 610 Al Ayan Hair Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,Not Available,,,,Gents salon,,,,,,
GS 611 Adam,GS 611 Adam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971582214464,,,,Gents salon,,,,,,
GS 612 Lavender,GS 612 Lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971501741762,,,,Gents salon,,,,,,
