Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,E-mail 1 - Type,E-mail 1 - Value,Phone 1 - Type,Phone 1 - Value,Phone 2 - Type,Phone 2 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
GS 1 Hava Gents Salon,GS 1 Hava Gents Salon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,97167460566,,,,Barbershops,,,,,,
GS 2 Al Rahmania,GS 2 Al Rahmania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971509349523,,,,Gents salon,,,,,,
GS 3 Shabab Al Raqaib,GS 3 Shabab Al Raqaib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971508244309,,,,Gents salon,,,,,,
GS 4 Luxury Hair Cutting,GS 4 Luxury Hair Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,97167412191,,,,Gents salon,,,,,,
GS 5 Sadiq Al Tufoola,GS 5 Sadiq Al Tufoola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971551290828,,,,Gents salon,,,,,,
GS 6 Amer,GS 6 Amer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971501081116,,,,Haircutting gents salon,,,,,,
GS 7 Moosa,GS 7 Moosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971552259297,,,,Haircutting salon,,,,,,
GS 8 Al Saudia,GS 8 Al Saudia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971509642512,,,,Gents salon,,,,,,
GS 9 Oman Haircutting,GS 9 Oman Haircutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971569125441,,,,Gents salon,,,,,,
GS 10 Al Warqa,GS 10 Al Warqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971508455887,,,,Gents salon,,,,,,
GS 11 Al Asad,GS 11 Al Asad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971507467903,,,,Gents salon,,,,,,
GS 12 Al Waqar,GS 12 Al Waqar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971552608033,,,,Gents salon,,,,,,
GS 13 Ali Hassan,GS 13 Ali Hassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971505198234,,,,Haircutting salon,,,,,,
GS 14 Al Hima,GS 14 Al Hima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971526757030,,,,Gents salon,,,,,,
GS 15 Farhat Hair Cutting,GS 15 Farhat Hair Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971524037132,,,,Gents salon,,,,,,
GS 16 Glamour Hairdressing,GS 16 Glamour Hairdressing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971556291424,,,,Gents salon,,,,,,
GS 17 Al Arabiya,GS 17 Al Arabiya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971565354620,,,,Gents salon,,,,,,
GS 18 Ali Hassan,GS 18 Ali Hassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971505198234,,,,Haircutting salon,,,,,,
GS 19 Eric & Raul,GS 19 Eric & Raul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971551162142,,,,Gents salon,,,,,,
GS 20 Al Arab,GS 20 Al Arab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971544313583,,,,Gents salon,,,,,,
GS 21 Finger Touch Haircutting,GS 21 Finger Touch Haircutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971559997743,,,,Gents salon,,,,,,
