Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,E-mail 1 - Type,E-mail 1 - Value,Phone 1 - Type,Phone 1 - Value,Phone 2 - Type,Phone 2 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
GS 1 Hava Gents Salon,GS 1 Hava Gents Salon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,97167460566,,,,Barbershops,,,,,,
GS 2 Al Rahmania,GS 2 Al Rahmania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971509349523,,,,Gents salon,,,,,,
GS 3 Shabab Al Raqaib,GS 3 Shabab Al Raqaib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971508244309,,,,Gents salon,,,,,,
GS 4 Luxury Hair Cutting,GS 4 Luxury Hair Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,97167412191,,,,Gents salon,,,,,,
GS 5 Al Saudia,GS 5 Al Saudia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971509642512,,,,Gents salon,,,,,,
GS 6 Al Waqar,GS 6 Al Waqar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971552608033,,,,Gents salon,,,,,,
GS 7 Ali Hassan,GS 7 Ali Hassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971505198234,,,,Haircutting salon,,,,,,
GS 8 Al Warqa,GS 8 Al Warqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971508455887,,,,Gents salon,,,,,,
GS 9 Al Hima,GS 9 Al Hima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971526757030,,,,Gents salon,,,,,,
GS 10 Noor Al Sabah Hair Cutting,GS 10 Noor Al Sabah Hair Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971559490120,,,,Gents salon,,,,,,
GS 11 Bursa Hairdressing,GS 11 Bursa Hairdressing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971507746867,,,,Gents salon,,,,,,
GS 1 Hava Gents Salon,GS 1 Hava Gents Salon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,97167460566,,,,Barbershops,,,,,,
GS 2 Al Rahmania,GS 2 Al Rahmania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971509349523,,,,Gents salon,,,,,,
GS 3 Shabab Al Raqaib,GS 3 Shabab Al Raqaib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971508244309,,,,Gents salon,,,,,,
GS 4 Luxury Hair Cutting,GS 4 Luxury Hair Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,97167412191,,,,Gents salon,,,,,,
GS 5 Al Saudia,GS 5 Al Saudia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971509642512,,,,Gents salon,,,,,,
GS 6 Al Waqar,GS 6 Al Waqar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971552608033,,,,Gents salon,,,,,,
GS 7 Ali Hassan,GS 7 Ali Hassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971505198234,,,,Haircutting salon,,,,,,
GS 8 Al Warqa,GS 8 Al Warqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971508455887,,,,Gents salon,,,,,,
GS 9 Al Hima,GS 9 Al Hima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971526757030,,,,Gents salon,,,,,,
GS 10 Noor Al Sabah Hair Cutting,GS 10 Noor Al Sabah Hair Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971559490120,,,,Gents salon,,,,,,
GS 11 Bursa Hairdressing,GS 11 Bursa Hairdressing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971507746867,,,,Gents salon,,,,,,
GS 12 Amer,GS 12 Amer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971501081116,,,,Haircutting gents salon,,,,,,
GS 13 Farhat Hair Cutting,GS 13 Farhat Hair Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971524037132,,,,Gents salon,,,,,,
GS 14 Al Fouad,GS 14 Al Fouad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971562065570,,,,Gents salon,,,,,,
GS 15 Ali Hassan,GS 15 Ali Hassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971505198234,,,,Haircutting salon,,,,,,
GS 16 Dhoa Al Shams Hair Cutting,GS 16 Dhoa Al Shams Hair Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971559378937,,,,Gents salon,,,,,,
GS 17 Shehab Hair Cutting,GS 17 Shehab Hair Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971503454462,,,,Gents salon,,,,,,
GS 18 Hawa Hair Cutting Salon,GS 18 Hawa Hair Cutting Salon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971554569736,,,,Barbershops,,,,,,
GS 19 Al Jazbiah Men Trimming & Styling,GS 19 Al Jazbiah Men Trimming & Styling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971557412710,,,,Hairdressing salon,,,,,,
GS 20 Al Maaher,GS 20 Al Maaher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971524227530,,,,Gents salon,,,,,,
GS 21 Zaid Hair Dressing,GS 21 Zaid Hair Dressing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971507105085,,,,Gents salon,,,,,,
GS 22 Sultan Muneeb Hair Cutting,GS 22 Sultan Muneeb Hair Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971509203274,,,,Gents salon,,,,,,
GS 23 Hadi,GS 23 Hadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971563787509,,,,Gents salon,,,,,,
GS 24 Al Asad,GS 24 Al Asad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971507467903,,,,Gents salon,,,,,,
GS 25 Al Yas Hair Cutting,GS 25 Al Yas Hair Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971504794133,,,,Gents salon,,,,,,
GS 26 Hamdan Haircutting,GS 26 Hamdan Haircutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971509673870,,,,Gents salon,,,,,,
GS 27 Al Boom Haircutting,GS 27 Al Boom Haircutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971558882418,,,,Gents salon,,,,,,
GS 28 Yousif,GS 28 Yousif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971565996616,,,,Gents salon,,,,,,
GS 29 Usman,GS 29 Usman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971551595566,,,,Gents salon,,,,,,
GS 30 Al Marmaris,GS 30 Al Marmaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,97165463460,,,,Gents salon,,,,,,
GS 31 Lavender,GS 31 Lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971501741762,,,,Gents salon,,,,,,
GS 32 Sadiq Al Tufoola,GS 32 Sadiq Al Tufoola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971551290828,,,,Gents salon,,,,,,
GS 33 Al Sase Haircutting,GS 33 Al Sase Haircutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971509839755,,,,Gents salon,,,,,,
GS 34 Antaliya Haircutting,GS 34 Antaliya Haircutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,97167488656,,,,Gents salon,,,,,,
GS 35 Day Light Hair Cutting,GS 35 Day Light Hair Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971507592108,,,,Gents salon,,,,,,
GS 36 Akbar Hair Cutting,GS 36 Akbar Hair Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971505892688,,,,Gents salon,,,,,,
GS 37 The Art,GS 37 The Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971507477676,,,,Gents salon,,,,,,
GS 38 Al Sada Gents Salon,GS 38 Al Sada Gents Salon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971553072891,,,,Barbershops,,,,,,
GS 39 Trimmers,GS 39 Trimmers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971562239938,,,,Gents salon and SPA center,,,,,,
GS 40 Barbers R Us,GS 40 Barbers R Us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971562878274,,,,Gents salon,,,,,,
GS 41 Al Zaeem,GS 41 Al Zaeem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971566364033,,,,Gents salon,,,,,,
GS 42 Glamour Hairdressing,GS 42 Glamour Hairdressing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971556291424,,,,Gents salon,,,,,,
GS 43 Wonderland,GS 43 Wonderland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971562778488,,,,Kids salon,,,,,,
GS 44 Moosa,GS 44 Moosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971552259297,,,,Haircutting salon,,,,,,
GS 45 Zabeel Hair Dressing,GS 45 Zabeel Hair Dressing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971502238525,,,,Gents salon,,,,,,
GS 46 Al Bushra Gents Salon,GS 46 Al Bushra Gents Salon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971506776641,,,,Barbershops,,,,,,
GS 47 Ayan Zaman,GS 47 Ayan Zaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971553345169,,,,Gents salon,,,,,,
GS 48 Al Arabiya,GS 48 Al Arabiya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971565354620,,,,Gents salon,,,,,,
GS 49 Super Star,GS 49 Super Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971543707034,,,,Gents salon,,,,,,
GS 50 Al Qarya,GS 50 Al Qarya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971558056673,,,,Gents salon,,,,,,
GS 51 Al Mandar Al Jamil Haircutting,GS 51 Al Mandar Al Jamil Haircutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971524354985,,,,Gents salon,,,,,,
GS 52 Amasi Hair Dressing,GS 52 Amasi Hair Dressing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,971543750903,,,,Gents salon,,,,,,
