Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,E-mail 1 - Type,E-mail 1 - Value,Phone 1 - Type,Phone 1 - Value,Phone 2 - Type,Phone 2 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
Sobha Group,Sobha Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+97144238064,,,,Housing construction,,,,,,
Engineering Contracting Company,Engineering Contracting Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+97143736777,,,,Office,,,,,,
Engineering Consultant Group,Engineering Consultant Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+97143434229,,,,Company,,,,,,
Jazal Engineering & Contracting,Jazal Engineering & Contracting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+97143617322,,,,Engineering services,,,,,,
Wade Adams Contracting,Wade Adams Contracting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+97144535000,,,,Roads construction / Repair,,,,,,
Naresco Contracting Company,Naresco Contracting Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+97143984545,,,,Commercial Building Construction,,,,,,
Aztec Middle East Contracting,Aztec Middle East Contracting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+97143933055,,,,Commercial Building Construction,,,,,,
Green Dream Landscaping & Technical Services,Green Dream Landscaping & Technical Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+971558595290,,,,Company,,,,,,
Desert Group,Desert Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+97143404440,,,,Company,,,,,,
Airolink Building Contracting,Airolink Building Contracting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+97144473448,,,,Company,,,,,,
China Civil Engineering Construction Corporation,China Civil Engineering Construction Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+97125551040,,,,Company,,,,,,
RAQ Contracting Company,RAQ Contracting Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,+97142443366,,,,Commercial Building Construction,,,,,,
