name,category,address,link
Mussafa,Gents salon,"21, 14 Street, M13, Musaffah, Musaffah, Abu Dhabi, Abu Dhabi Municipality, Abu Dhabi Emirate",https://2gis.ae/dubai/firm/70000001032949338?stat=eyJwYXJlbnRUYWJJZCI6IjM3Mzg2ZmQ0LTA3NzItNGRlNi04NTA1LTVkNzMwOWZkZWYzMyIsImZvcmtFdmVudE9yZGluYWwiOjM0LCJ1aUVsZW1lbnQiOnsibmFtZSI6InBsYWNlQ2FyZE1pbmkiLCJvd25lck5hbWUiOiJzZWFyY2hSZXN1bHRzTGlzdCIsInBvc2l0aW9uIjoxfSwicGxhY2VJdGVtIjp7ImVudGl0eSI6eyJpZCI6IjcwMDAwMDAxMDMyOTQ5MzM4IiwidHlwZSI6ImJyYW5jaCIsInNlZ21lbnRJbmZvIjp7ImJhc2VMb2NhbGUiOiJlbl9BRSIsInNlZ21lbnRJZCI6Ijk5In19LCJnZW9Qb3NpdGlvbiI6eyJsb24iOjU0LjQ5NjgzNiwibGF0IjoyNC4zNzAxMTN9LCJhZHNTZWFyY2giOmZhbHNlLCJtYWluUnVicmljIjoiMTEwMzUyIiwiaXNEZWxldGVkIjpmYWxzZSwib3JnIjoiNzAwMDAwMDEwMzI5NDkzMzciLCJjb250ZXh0UnVicmljIjoiMTEwMzUyIiwicmVzdWx0Q2xhc3MiOjIsInBvc2l0aW9uIjoxfSwic2VhcmNoUmVzdWx0c0xpc3QiOnsic2l6ZSI6NjEyMywic2VhcmNoVHlwZSI6MiwiZmlyc3RSZXN1bHRDbGFzcyI6MiwiY29udGV4dFJ1YnJpY3MiOlsiMTEwMzUyIiwiMTEwMzUxIiwiNTY3NTkiLCI2NTIiLCI1NjAzIiwiNTg4NTgiLCIxMTAzNTMiLCIxMTAzNTEiXSwiY29udGV4dEF0dHJpYnV0ZXMiOlsiNzAwMDAyMDEwMDY3NDc4MzkiXSwiaGFzR2VvUmVzdHJpY3Rpb24iOmZhbHNlLCJwYXJ0aWFsUmVzdWx0IjpmYWxzZSwib3V0dmlld3BvcnQiOlt7ImxhdCI6MjQuNjM2MzU0MjUwMDI4NDksImxvbiI6NTQuMTA1ODYyMzE4NzI0NTR9LHsibGF0IjoyNC4yNjYwNDU3NDk5NzE1MSwibG9uIjo1NC4xMDU4NjIzMTg3MjQ1NH0seyJsYXQiOjI0LjI2NjA0NTc0OTk3MTUxLCJsb24iOjU0LjY4ODEzNzY4MTI3NTQ2fSx7ImxhdCI6MjQuNjM2MzU0MjUwMDI4NDksImxvbiI6NTQuNjg4MTM3NjgxMjc1NDZ9XSwic2VhcmNoU2VnbWVudElkIjoiOTkiLCJydHdWZXJzaW9uIjoiYTIyY2Q3MGQtYjJkOS00ZWYxLTg2YzAtOTUwOGYyMjhlNjkxIn19
Tower,Hairdressing salon,"47, Al Durri Street, E9_02, Al Danah, Al Markaziyah, Abu Dhabi, Abu Dhabi Municipality, Abu Dhabi Emirate",https://2gis.ae/dubai/firm/70000001065247526?stat=eyJwYXJlbnRUYWJJZCI6IjM3Mzg2ZmQ0LTA3NzItNGRlNi04NTA1LTVkNzMwOWZkZWYzMyIsImZvcmtFdmVudE9yZGluYWwiOjM0LCJ1aUVsZW1lbnQiOnsibmFtZSI6InBsYWNlQ2FyZE1pbmkiLCJvd25lck5hbWUiOiJzZWFyY2hSZXN1bHRzTGlzdCIsInBvc2l0aW9uIjoyfSwicGxhY2VJdGVtIjp7ImVudGl0eSI6eyJpZCI6IjcwMDAwMDAxMDY1MjQ3NTI2IiwidHlwZSI6ImJyYW5jaCIsInNlZ21lbnRJbmZvIjp7ImJhc2VMb2NhbGUiOiJlbl9BRSIsInNlZ21lbnRJZCI6Ijk5In19LCJnZW9Qb3NpdGlvbiI6eyJsb24iOjU0LjM3MDc3MiwibGF0IjoyNC40OTYxNn0sImFkc1NlYXJjaCI6ZmFsc2UsIm1haW5SdWJyaWMiOiIxMTAzNTIiLCJpc0RlbGV0ZWQiOmZhbHNlLCJvcmciOiI3MDAwMDAwMTA2NTI0NzUyNSIsImNvbnRleHRSdWJyaWMiOiIxMTAzNTIiLCJyZXN1bHRDbGFzcyI6MiwicG9zaXRpb24iOjJ9LCJzZWFyY2hSZXN1bHRzTGlzdCI6eyJzaXplIjo2MTIzLCJzZWFyY2hUeXBlIjoyLCJmaXJzdFJlc3VsdENsYXNzIjoyLCJjb250ZXh0UnVicmljcyI6WyIxMTAzNTIiLCIxMTAzNTEiLCI1Njc1OSIsIjY1MiIsIjU2MDMiLCI1ODg1OCIsIjExMDM1MyIsIjExMDM1MSJdLCJjb250ZXh0QXR0cmlidXRlcyI6WyI3MDAwMDIwMTAwNjc0NzgzOSJdLCJoYXNHZW9SZXN0cmljdGlvbiI6ZmFsc2UsInBhcnRpYWxSZXN1bHQiOmZhbHNlLCJvdXR2aWV3cG9ydCI6W3sibGF0IjoyNC42MzYzNTQyNTAwMjg0OSwibG9uIjo1NC4xMDU4NjIzMTg3MjQ1NH0seyJsYXQiOjI0LjI2NjA0NTc0OTk3MTUxLCJsb24iOjU0LjEwNTg2MjMxODcyNDU0fSx7ImxhdCI6MjQuMjY2MDQ1NzQ5OTcxNTEsImxvbiI6NTQuNjg4MTM3NjgxMjc1NDZ9LHsibGF0IjoyNC42MzYzNTQyNTAwMjg0OSwibG9uIjo1NC42ODgxMzc2ODEyNzU0Nn1dLCJzZWFyY2hTZWdtZW50SWQiOiI5OSIsInJ0d1ZlcnNpb24iOiJhMjJjZDcwZC1iMmQ5LTRlZjEtODZjMC05NTA4ZjIyOGU2OTEifX0%3D
Glow Beauty Center,Ladies salon,Abu Dhabi,https://2gis.ae/dubai/firm/70000001065668719?stat=eyJwYXJlbnRUYWJJZCI6IjM3Mzg2ZmQ0LTA3NzItNGRlNi04NTA1LTVkNzMwOWZkZWYzMyIsImZvcmtFdmVudE9yZGluYWwiOjM0LCJ1aUVsZW1lbnQiOnsibmFtZSI6InBsYWNlQ2FyZE1pbmkiLCJvd25lck5hbWUiOiJzZWFyY2hSZXN1bHRzTGlzdCIsInBvc2l0aW9uIjozfSwicGxhY2VJdGVtIjp7ImVudGl0eSI6eyJpZCI6IjcwMDAwMDAxMDY1NjY4NzE5IiwidHlwZSI6ImJyYW5jaCIsInNlZ21lbnRJbmZvIjp7ImJhc2VMb2NhbGUiOiJlbl9BRSIsInNlZ21lbnRJZCI6Ijk5In19LCJnZW9Qb3NpdGlvbiI6eyJsb24iOjU0LjM4NzU2MSwibGF0IjoyNC40NzU0NDR9LCJhZHNTZWFyY2giOmZhbHNlLCJtYWluUnVicmljIjoiMTEwMzUxIiwiaXNEZWxldGVkIjpmYWxzZSwib3JnIjoiNzAwMDAwMDEwNjU2Njg3MTgiLCJjb250ZXh0UnVicmljIjoiMTEwMzUxIiwicmVzdWx0Q2xhc3MiOjIsInBvc2l0aW9uIjozfSwic2VhcmNoUmVzdWx0c0xpc3QiOnsic2l6ZSI6NjEyMywic2VhcmNoVHlwZSI6MiwiZmlyc3RSZXN1bHRDbGFzcyI6MiwiY29udGV4dFJ1YnJpY3MiOlsiMTEwMzUyIiwiMTEwMzUxIiwiNTY3NTkiLCI2NTIiLCI1NjAzIiwiNTg4NTgiLCIxMTAzNTMiLCIxMTAzNTEiXSwiY29udGV4dEF0dHJpYnV0ZXMiOlsiNzAwMDAyMDEwMDY3NDc4MzkiXSwiaGFzR2VvUmVzdHJpY3Rpb24iOmZhbHNlLCJwYXJ0aWFsUmVzdWx0IjpmYWxzZSwib3V0dmlld3BvcnQiOlt7ImxhdCI6MjQuNjM2MzU0MjUwMDI4NDksImxvbiI6NTQuMTA1ODYyMzE4NzI0NTR9LHsibGF0IjoyNC4yNjYwNDU3NDk5NzE1MSwibG9uIjo1NC4xMDU4NjIzMTg3MjQ1NH0seyJsYXQiOjI0LjI2NjA0NTc0OTk3MTUxLCJsb24iOjU0LjY4ODEzNzY4MTI3NTQ2fSx7ImxhdCI6MjQuNjM2MzU0MjUwMDI4NDksImxvbiI6NTQuNjg4MTM3NjgxMjc1NDZ9XSwic2VhcmNoU2VnbWVudElkIjoiOTkiLCJydHdWZXJzaW9uIjoiYTIyY2Q3MGQtYjJkOS00ZWYxLTg2YzAtOTUwOGYyMjhlNjkxIn19
Hidden Gem,Health and beauty salon,"Oceanscape, 55, Abdullah Omran Taryam Street, RS1, Al Reem Island, Al Reem Island, Abu Dhabi, Abu Dhabi Municipality, Abu Dhabi Emirate",https://2gis.ae/dubai/firm/70000001066313650?stat=eyJwYXJlbnRUYWJJZCI6IjM3Mzg2ZmQ0LTA3NzItNGRlNi04NTA1LTVkNzMwOWZkZWYzMyIsImZvcmtFdmVudE9yZGluYWwiOjM0LCJ1aUVsZW1lbnQiOnsibmFtZSI6InBsYWNlQ2FyZE1pbmkiLCJvd25lck5hbWUiOiJzZWFyY2hSZXN1bHRzTGlzdCIsInBvc2l0aW9uIjo0fSwicGxhY2VJdGVtIjp7ImVudGl0eSI6eyJpZCI6IjcwMDAwMDAxMDY2MzEzNjUwIiwidHlwZSI6ImJyYW5jaCIsInNlZ21lbnRJbmZvIjp7ImJhc2VMb2NhbGUiOiJlbl9BRSIsInNlZ21lbnRJZCI6Ijk5In19LCJnZW9Qb3NpdGlvbiI6eyJsb24iOjU0LjQwNTMzLCJsYXQiOjI0LjUwNzk5NH0sImFkc1NlYXJjaCI6ZmFsc2UsIm1haW5SdWJyaWMiOiIxMTAzNTEiLCJpc0RlbGV0ZWQiOmZhbHNlLCJvcmciOiI3MDAwMDAwMTA2NjMxMzY0OSIsImNvbnRleHRSdWJyaWMiOiIxMTAzNTEiLCJyZXN1bHRDbGFzcyI6MiwicG9zaXRpb24iOjR9LCJzZWFyY2hSZXN1bHRzTGlzdCI6eyJzaXplIjo2MTIzLCJzZWFyY2hUeXBlIjoyLCJmaXJzdFJlc3VsdENsYXNzIjoyLCJjb250ZXh0UnVicmljcyI6WyIxMTAzNTIiLCIxMTAzNTEiLCI1Njc1OSIsIjY1MiIsIjU2MDMiLCI1ODg1OCIsIjExMDM1MyIsIjExMDM1MSJdLCJjb250ZXh0QXR0cmlidXRlcyI6WyI3MDAwMDIwMTAwNjc0NzgzOSJdLCJoYXNHZW9SZXN0cmljdGlvbiI6ZmFsc2UsInBhcnRpYWxSZXN1bHQiOmZhbHNlLCJvdXR2aWV3cG9ydCI6W3sibGF0IjoyNC42MzYzNTQyNTAwMjg0OSwibG9uIjo1NC4xMDU4NjIzMTg3MjQ1NH0seyJsYXQiOjI0LjI2NjA0NTc0OTk3MTUxLCJsb24iOjU0LjEwNTg2MjMxODcyNDU0fSx7ImxhdCI6MjQuMjY2MDQ1NzQ5OTcxNTEsImxvbiI6NTQuNjg4MTM3NjgxMjc1NDZ9LHsibGF0IjoyNC42MzYzNTQyNTAwMjg0OSwibG9uIjo1NC42ODgxMzc2ODEyNzU0Nn1dLCJzZWFyY2hTZWdtZW50SWQiOiI5OSIsInJ0d1ZlcnNpb24iOiJhMjJjZDcwZC1iMmQ5LTRlZjEtODZjMC05NTA4ZjIyOGU2OTEifX0%3D
,,,https://2gis.ae/dubai/firm/70000001045712332?stat=eyJwYXJlbnRUYWJJZCI6IjM3Mzg2ZmQ0LTA3NzItNGRlNi04NTA1LTVkNzMwOWZkZWYzMyIsImZvcmtFdmVudE9yZGluYWwiOjM0LCJ1aUVsZW1lbnQiOnsibmFtZSI6InBsYWNlQ2FyZE1pbmkiLCJvd25lck5hbWUiOiJzZWFyY2hSZXN1bHRzTGlzdCIsInBvc2l0aW9uIjo1fSwicGxhY2VJdGVtIjp7ImVudGl0eSI6eyJpZCI6IjcwMDAwMDAxMDQ1NzEyMzMyIiwidHlwZSI6ImJyYW5jaCIsInNlZ21lbnRJbmZvIjp7ImJhc2VMb2NhbGUiOiJlbl9BRSIsInNlZ21lbnRJZCI6Ijk5In19LCJnZW9Qb3NpdGlvbiI6eyJsb24iOjU0LjM4NTg0NCwibGF0IjoyNC40NjY0MjJ9LCJhZHNTZWFyY2giOmZhbHNlLCJtYWluUnVicmljIjoiMTEwMzUyIiwiaXNEZWxldGVkIjpmYWxzZSwib3JnIjoiNzAwMDAwMDEwNDU3MTIzMzEiLCJjb250ZXh0UnVicmljIjoiMTEwMzUyIiwicmVzdWx0Q2xhc3MiOjIsInBvc2l0aW9uIjo1fSwic2VhcmNoUmVzdWx0c0xpc3QiOnsic2l6ZSI6NjEyMywic2VhcmNoVHlwZSI6MiwiZmlyc3RSZXN1bHRDbGFzcyI6MiwiY29udGV4dFJ1YnJpY3MiOlsiMTEwMzUyIiwiMTEwMzUxIiwiNTY3NTkiLCI2NTIiLCI1NjAzIiwiNTg4NTgiLCIxMTAzNTMiLCIxMTAzNTEiXSwiY29udGV4dEF0dHJpYnV0ZXMiOlsiNzAwMDAyMDEwMDY3NDc4MzkiXSwiaGFzR2VvUmVzdHJpY3Rpb24iOmZhbHNlLCJwYXJ0aWFsUmVzdWx0IjpmYWxzZSwib3V0dmlld3BvcnQiOlt7ImxhdCI6MjQuNjM2MzU0MjUwMDI4NDksImxvbiI6NTQuMTA1ODYyMzE4NzI0NTR9LHsibGF0IjoyNC4yNjYwNDU3NDk5NzE1MSwibG9uIjo1NC4xMDU4NjIzMTg3MjQ1NH0seyJsYXQiOjI0LjI2NjA0NTc0OTk3MTUxLCJsb24iOjU0LjY4ODEzNzY4MTI3NTQ2fSx7ImxhdCI6MjQuNjM2MzU0MjUwMDI4NDksImxvbiI6NTQuNjg4MTM3NjgxMjc1NDZ9XSwic2VhcmNoU2VnbWVudElkIjoiOTkiLCJydHdWZXJzaW9uIjoiYTIyY2Q3MGQtYjJkOS00ZWYxLTg2YzAtOTUwOGYyMjhlNjkxIn19
,,,https://2gis.ae/dubai/firm/70000001066169048?stat=eyJwYXJlbnRUYWJJZCI6IjM3Mzg2ZmQ0LTA3NzItNGRlNi04NTA1LTVkNzMwOWZkZWYzMyIsImZvcmtFdmVudE9yZGluYWwiOjM0LCJ1aUVsZW1lbnQiOnsibmFtZSI6InBsYWNlQ2FyZE1pbmkiLCJvd25lck5hbWUiOiJzZWFyY2hSZXN1bHRzTGlzdCIsInBvc2l0aW9uIjo2fSwicGxhY2VJdGVtIjp7ImVudGl0eSI6eyJpZCI6IjcwMDAwMDAxMDY2MTY5MDQ4IiwidHlwZSI6ImJyYW5jaCIsInNlZ21lbnRJbmZvIjp7ImJhc2VMb2NhbGUiOiJlbl9BRSIsInNlZ21lbnRJZCI6Ijk5In19LCJnZW9Qb3NpdGlvbiI6eyJsb24iOjU0LjM3NzA5NCwibGF0IjoyNC40NjM5ODV9LCJhZHNTZWFyY2giOmZhbHNlLCJtYWluUnVicmljIjoiMTEwMzUxIiwiaXNEZWxldGVkIjpmYWxzZSwib3JnIjoiNzAwMDAwMDEwNjYxNjkwNDciLCJjb250ZXh0UnVicmljIjoiMTEwMzUxIiwicmVzdWx0Q2xhc3MiOjIsInBvc2l0aW9uIjo2fSwic2VhcmNoUmVzdWx0c0xpc3QiOnsic2l6ZSI6NjEyMywic2VhcmNoVHlwZSI6MiwiZmlyc3RSZXN1bHRDbGFzcyI6MiwiY29udGV4dFJ1YnJpY3MiOlsiMTEwMzUyIiwiMTEwMzUxIiwiNTY3NTkiLCI2NTIiLCI1NjAzIiwiNTg4NTgiLCIxMTAzNTMiLCIxMTAzNTEiXSwiY29udGV4dEF0dHJpYnV0ZXMiOlsiNzAwMDAyMDEwMDY3NDc4MzkiXSwiaGFzR2VvUmVzdHJpY3Rpb24iOmZhbHNlLCJwYXJ0aWFsUmVzdWx0IjpmYWxzZSwib3V0dmlld3BvcnQiOlt7ImxhdCI6MjQuNjM2MzU0MjUwMDI4NDksImxvbiI6NTQuMTA1ODYyMzE4NzI0NTR9LHsibGF0IjoyNC4yNjYwNDU3NDk5NzE1MSwibG9uIjo1NC4xMDU4NjIzMTg3MjQ1NH0seyJsYXQiOjI0LjI2NjA0NTc0OTk3MTUxLCJsb24iOjU0LjY4ODEzNzY4MTI3NTQ2fSx7ImxhdCI6MjQuNjM2MzU0MjUwMDI4NDksImxvbiI6NTQuNjg4MTM3NjgxMjc1NDZ9XSwic2VhcmNoU2VnbWVudElkIjoiOTkiLCJydHdWZXJzaW9uIjoiYTIyY2Q3MGQtYjJkOS00ZWYxLTg2YzAtOTUwOGYyMjhlNjkxIn19
,,,https://2gis.ae/dubai/firm/70000001046635696?stat=eyJwYXJlbnRUYWJJZCI6IjM3Mzg2ZmQ0LTA3NzItNGRlNi04NTA1LTVkNzMwOWZkZWYzMyIsImZvcmtFdmVudE9yZGluYWwiOjM0LCJ1aUVsZW1lbnQiOnsibmFtZSI6InBsYWNlQ2FyZE1pbmkiLCJvd25lck5hbWUiOiJzZWFyY2hSZXN1bHRzTGlzdCIsInBvc2l0aW9uIjo3fSwicGxhY2VJdGVtIjp7ImVudGl0eSI6eyJpZCI6IjcwMDAwMDAxMDQ2NjM1Njk2IiwidHlwZSI6ImJyYW5jaCIsInNlZ21lbnRJbmZvIjp7ImJhc2VMb2NhbGUiOiJlbl9BRSIsInNlZ21lbnRJZCI6Ijk5In19LCJnZW9Qb3NpdGlvbiI6eyJsb24iOjU0LjM2NzM4MywibGF0IjoyNC40OTA1ODF9LCJhZHNTZWFyY2giOmZhbHNlLCJtYWluUnVicmljIjoiMTEwMzUyIiwiaXNEZWxldGVkIjpmYWxzZSwib3JnIjoiNzAwMDAwMDEwNDY2MzU2OTUiLCJjb250ZXh0UnVicmljIjoiMTEwMzUyIiwicmVzdWx0Q2xhc3MiOjIsInBvc2l0aW9uIjo3fSwic2VhcmNoUmVzdWx0c0xpc3QiOnsic2l6ZSI6NjEyMywic2VhcmNoVHlwZSI6MiwiZmlyc3RSZXN1bHRDbGFzcyI6MiwiY29udGV4dFJ1YnJpY3MiOlsiMTEwMzUyIiwiMTEwMzUxIiwiNTY3NTkiLCI2NTIiLCI1NjAzIiwiNTg4NTgiLCIxMTAzNTMiLCIxMTAzNTEiXSwiY29udGV4dEF0dHJpYnV0ZXMiOlsiNzAwMDAyMDEwMDY3NDc4MzkiXSwiaGFzR2VvUmVzdHJpY3Rpb24iOmZhbHNlLCJwYXJ0aWFsUmVzdWx0IjpmYWxzZSwib3V0dmlld3BvcnQiOlt7ImxhdCI6MjQuNjM2MzU0MjUwMDI4NDksImxvbiI6NTQuMTA1ODYyMzE4NzI0NTR9LHsibGF0IjoyNC4yNjYwNDU3NDk5NzE1MSwibG9uIjo1NC4xMDU4NjIzMTg3MjQ1NH0seyJsYXQiOjI0LjI2NjA0NTc0OTk3MTUxLCJsb24iOjU0LjY4ODEzNzY4MTI3NTQ2fSx7ImxhdCI6MjQuNjM2MzU0MjUwMDI4NDksImxvbiI6NTQuNjg4MTM3NjgxMjc1NDZ9XSwic2VhcmNoU2VnbWVudElkIjoiOTkiLCJydHdWZXJzaW9uIjoiYTIyY2Q3MGQtYjJkOS00ZWYxLTg2YzAtOTUwOGYyMjhlNjkxIn19
,,,https://2gis.ae/dubai/firm/70000001047202928?stat=eyJwYXJlbnRUYWJJZCI6IjM3Mzg2ZmQ0LTA3NzItNGRlNi04NTA1LTVkNzMwOWZkZWYzMyIsImZvcmtFdmVudE9yZGluYWwiOjM0LCJ1aUVsZW1lbnQiOnsibmFtZSI6InBsYWNlQ2FyZE1pbmkiLCJvd25lck5hbWUiOiJzZWFyY2hSZXN1bHRzTGlzdCIsInBvc2l0aW9uIjo4fSwicGxhY2VJdGVtIjp7ImVudGl0eSI6eyJpZCI6IjcwMDAwMDAxMDQ3MjAyOTI4IiwidHlwZSI6ImJyYW5jaCIsInNlZ21lbnRJbmZvIjp7ImJhc2VMb2NhbGUiOiJlbl9BRSIsInNlZ21lbnRJZCI6Ijk5In19LCJnZW9Qb3NpdGlvbiI6eyJsb24iOjU0LjM2MDEyMSwibGF0IjoyNC40ODg1MDZ9LCJhZHNTZWFyY2giOmZhbHNlLCJtYWluUnVicmljIjoiMTEwMzUyIiwiaXNEZWxldGVkIjpmYWxzZSwib3JnIjoiNzAwMDAwMDEwMDY0NDI2NjciLCJjb250ZXh0UnVicmljIjoiMTEwMzUyIiwicmVzdWx0Q2xhc3MiOjIsInBvc2l0aW9uIjo4fSwic2VhcmNoUmVzdWx0c0xpc3QiOnsic2l6ZSI6NjEyMywic2VhcmNoVHlwZSI6MiwiZmlyc3RSZXN1bHRDbGFzcyI6MiwiY29udGV4dFJ1YnJpY3MiOlsiMTEwMzUyIiwiMTEwMzUxIiwiNTY3NTkiLCI2NTIiLCI1NjAzIiwiNTg4NTgiLCIxMTAzNTMiLCIxMTAzNTEiXSwiY29udGV4dEF0dHJpYnV0ZXMiOlsiNzAwMDAyMDEwMDY3NDc4MzkiXSwiaGFzR2VvUmVzdHJpY3Rpb24iOmZhbHNlLCJwYXJ0aWFsUmVzdWx0IjpmYWxzZSwib3V0dmlld3BvcnQiOlt7ImxhdCI6MjQuNjM2MzU0MjUwMDI4NDksImxvbiI6NTQuMTA1ODYyMzE4NzI0NTR9LHsibGF0IjoyNC4yNjYwNDU3NDk5NzE1MSwibG9uIjo1NC4xMDU4NjIzMTg3MjQ1NH0seyJsYXQiOjI0LjI2NjA0NTc0OTk3MTUxLCJsb24iOjU0LjY4ODEzNzY4MTI3NTQ2fSx7ImxhdCI6MjQuNjM2MzU0MjUwMDI4NDksImxvbiI6NTQuNjg4MTM3NjgxMjc1NDZ9XSwic2VhcmNoU2VnbWVudElkIjoiOTkiLCJydHdWZXJzaW9uIjoiYTIyY2Q3MGQtYjJkOS00ZWYxLTg2YzAtOTUwOGYyMjhlNjkxIn19
,,,https://2gis.ae/dubai/firm/70000001039888300?stat=eyJwYXJlbnRUYWJJZCI6IjM3Mzg2ZmQ0LTA3NzItNGRlNi04NTA1LTVkNzMwOWZkZWYzMyIsImZvcmtFdmVudE9yZGluYWwiOjM0LCJ1aUVsZW1lbnQiOnsibmFtZSI6InBsYWNlQ2FyZE1pbmkiLCJvd25lck5hbWUiOiJzZWFyY2hSZXN1bHRzTGlzdCIsInBvc2l0aW9uIjo5fSwicGxhY2VJdGVtIjp7ImVudGl0eSI6eyJpZCI6IjcwMDAwMDAxMDM5ODg4MzAwIiwidHlwZSI6ImJyYW5jaCIsInNlZ21lbnRJbmZvIjp7ImJhc2VMb2NhbGUiOiJlbl9BRSIsInNlZ21lbnRJZCI6Ijk5In19LCJnZW9Qb3NpdGlvbiI6eyJsb24iOjU0LjM1NzI0LCJsYXQiOjI0LjQ4OTkwNH0sImFkc1NlYXJjaCI6ZmFsc2UsIm1haW5SdWJyaWMiOiIxMTAzNTIiLCJpc0RlbGV0ZWQiOmZhbHNlLCJvcmciOiI3MDAwMDAwMTAzOTg4ODI5OSIsImNvbnRleHRSdWJyaWMiOiIxMTAzNTIiLCJyZXN1bHRDbGFzcyI6MiwicG9zaXRpb24iOjl9LCJzZWFyY2hSZXN1bHRzTGlzdCI6eyJzaXplIjo2MTIzLCJzZWFyY2hUeXBlIjoyLCJmaXJzdFJlc3VsdENsYXNzIjoyLCJjb250ZXh0UnVicmljcyI6WyIxMTAzNTIiLCIxMTAzNTEiLCI1Njc1OSIsIjY1MiIsIjU2MDMiLCI1ODg1OCIsIjExMDM1MyIsIjExMDM1MSJdLCJjb250ZXh0QXR0cmlidXRlcyI6WyI3MDAwMDIwMTAwNjc0NzgzOSJdLCJoYXNHZW9SZXN0cmljdGlvbiI6ZmFsc2UsInBhcnRpYWxSZXN1bHQiOmZhbHNlLCJvdXR2aWV3cG9ydCI6W3sibGF0IjoyNC42MzYzNTQyNTAwMjg0OSwibG9uIjo1NC4xMDU4NjIzMTg3MjQ1NH0seyJsYXQiOjI0LjI2NjA0NTc0OTk3MTUxLCJsb24iOjU0LjEwNTg2MjMxODcyNDU0fSx7ImxhdCI6MjQuMjY2MDQ1NzQ5OTcxNTEsImxvbiI6NTQuNjg4MTM3NjgxMjc1NDZ9LHsibGF0IjoyNC42MzYzNTQyNTAwMjg0OSwibG9uIjo1NC42ODgxMzc2ODEyNzU0Nn1dLCJzZWFyY2hTZWdtZW50SWQiOiI5OSIsInJ0d1ZlcnNpb24iOiJhMjJjZDcwZC1iMmQ5LTRlZjEtODZjMC05NTA4ZjIyOGU2OTEifX0%3D
,,,https://2gis.ae/dubai/firm/70000001045254824?stat=eyJwYXJlbnRUYWJJZCI6IjM3Mzg2ZmQ0LTA3NzItNGRlNi04NTA1LTVkNzMwOWZkZWYzMyIsImZvcmtFdmVudE9yZGluYWwiOjM0LCJ1aUVsZW1lbnQiOnsibmFtZSI6InBsYWNlQ2FyZE1pbmkiLCJvd25lck5hbWUiOiJzZWFyY2hSZXN1bHRzTGlzdCIsInBvc2l0aW9uIjoxMH0sInBsYWNlSXRlbSI6eyJlbnRpdHkiOnsiaWQiOiI3MDAwMDAwMTA0NTI1NDgyNCIsInR5cGUiOiJicmFuY2giLCJzZWdtZW50SW5mbyI6eyJiYXNlTG9jYWxlIjoiZW5fQUUiLCJzZWdtZW50SWQiOiI5OSJ9fSwiZ2VvUG9zaXRpb24iOnsibG9uIjo1NC4zNzQ1LCJsYXQiOjI0LjQ5ODE3Mn0sImFkc1NlYXJjaCI6ZmFsc2UsIm1haW5SdWJyaWMiOiIxMTAzNTEiLCJpc0RlbGV0ZWQiOmZhbHNlLCJvcmciOiI3MDAwMDAwMTA0NTI1NDgyMyIsImNvbnRleHRSdWJyaWMiOiIxMTAzNTEiLCJyZXN1bHRDbGFzcyI6MiwicG9zaXRpb24iOjEwfSwic2VhcmNoUmVzdWx0c0xpc3QiOnsic2l6ZSI6NjEyMywic2VhcmNoVHlwZSI6MiwiZmlyc3RSZXN1bHRDbGFzcyI6MiwiY29udGV4dFJ1YnJpY3MiOlsiMTEwMzUyIiwiMTEwMzUxIiwiNTY3NTkiLCI2NTIiLCI1NjAzIiwiNTg4NTgiLCIxMTAzNTMiLCIxMTAzNTEiXSwiY29udGV4dEF0dHJpYnV0ZXMiOlsiNzAwMDAyMDEwMDY3NDc4MzkiXSwiaGFzR2VvUmVzdHJpY3Rpb24iOmZhbHNlLCJwYXJ0aWFsUmVzdWx0IjpmYWxzZSwib3V0dmlld3BvcnQiOlt7ImxhdCI6MjQuNjM2MzU0MjUwMDI4NDksImxvbiI6NTQuMTA1ODYyMzE4NzI0NTR9LHsibGF0IjoyNC4yNjYwNDU3NDk5NzE1MSwibG9uIjo1NC4xMDU4NjIzMTg3MjQ1NH0seyJsYXQiOjI0LjI2NjA0NTc0OTk3MTUxLCJsb24iOjU0LjY4ODEzNzY4MTI3NTQ2fSx7ImxhdCI6MjQuNjM2MzU0MjUwMDI4NDksImxvbiI6NTQuNjg4MTM3NjgxMjc1NDZ9XSwic2VhcmNoU2VnbWVudElkIjoiOTkiLCJydHdWZXJzaW9uIjoiYTIyY2Q3MGQtYjJkOS00ZWYxLTg2YzAtOTUwOGYyMjhlNjkxIn19
